name,ps_id
STEC Solar,1286347
SCF SOLAR,1727383
TK2 Solar Rooftop,1789012
TSCG Solar Rooftop,1796105
VTC-BPH SOLAR ROOFTOP,1794533
INGR(BKD)-Solar Farm,1243961
INGR(BKD) Solar Floating,1238032
TTT SOLAR ROOFTOP 155kWp.,1736742
Nichias Solar Rooftop,1159029
Asahi Tec Aluminium,1545659
Sriracha moda,1198140
SNGF farm solar rooftop,1221098
Tofusan phase 2,1041065
WUS SOLAR ROOFTOP,1655534
SRT PLANT 1 (Meter 1.1),1332689
SRT PLANT 2 (Meter 1.2),1332699
Thongsamut (Phetkasem 114),1269052
CPTHO Solar Rooftop,1624910
UACJ solar,1146107
AFT SOLAR ROOFTOP AND FLOATING,1559555
CFI Solar Rooftop,1566807
CPT Solar Rooftop,1528862
CTG Solar Rooftop,1385647
CTC Office Solar Rooftop,1340612
CTC Solar Rooftop,1349797
CCF3,1445640
CMWT Solar Tie-in 1,1522874
CMWT Solar Tie-in 2,1496437
Reignwood Silverskin,1151522
Reignwood Club House,1180310
Reignwood Roman House,1360178
Nippo Solar Rooftop,1419102
Oiles Solar Rooftop,1434842
SKT SOLAR FARM,1301019
SRT MOLD SOLAR,1292936
ZAP SOLAR ROOFTOP,1293081
NGK Ceramics,1261204
Ryobi solar rooftop,1160061
TY optic,1228342
D-plus phase 1,942480
D-plus phase 2,1164086
MMCT 01 CBN,1199795
MMCT 02 Insert,1199786
MMCT 03 drill holder,1199774
TOYOTOMI Solar,1199971
Kawasumi KTL-09 Solar,1232594
Kawasumi INJ10 Solar,1232880
Toyota Tsusho Thailand Solar Phase1,1194765
Lotte Solar Rooftop,1159162
