name,ps_id,request_time,request_date,device_name_meteo_1,ps_key_meteo_1,device_time_meteo_1,p2001_meteo_1,meteo_count,status,error
STEC Solar,1286347,20260626153117,20260626,Meteo Station1,1286347_5_17_1,20260626153000,5337.5708,1,SUCCESS,
SCF SOLAR,1727383,20260626153118,20260626,Meteo Station1,1727383_5_17_1,20260626153000,4737.7759,1,SUCCESS,
TK2 Solar Rooftop,1789012,20260626153118,20260626,Meteo Station1,1789012_5_9_1,20260626153000,,1,SUCCESS,
TSCG Solar Rooftop,1796105,20260626153119,20260626,Meteo Station2,1796105_5_4_1,20260626153000,,1,SUCCESS,
VTC-BPH SOLAR ROOFTOP,1794533,20260626153119,20260626,Meteo Station1,1794533_5_9_1,20260626153000,4477.2104,1,SUCCESS,
INGR(BKD)-Solar Farm,1243961,20260626153120,20260626,Meteo Station1,1243961_5_2_1,20260626153000,0.0,1,SUCCESS,
INGR(BKD) Solar Floating,1238032,20260626153121,20260626,PC-4-Pro(COM3-001),1238032_5_8_1,20260626153000,5662.527,1,SUCCESS,
TTT SOLAR ROOFTOP 155kWp.,1736742,20260626153121,20260626,Meteo Station1,1736742_5_4_1,20260626153000,4818.897,1,SUCCESS,
Nichias Solar Rooftop,1159029,20260626153122,20260626,Meteo Station,1159029_5_3_1,20260626153000,,1,SUCCESS,
Asahi Tec Aluminium,1545659,20260626153122,20260626,Meteo Station01,1545659_5_9_1,20260626153000,5397.2075,1,SUCCESS,
Sriracha moda,1198140,20260626153123,20260626,,,,,0,SUCCESS,
SNGF farm solar rooftop,1221098,20260626153123,20260626,,,,,0,SUCCESS,
Tofusan phase 2,1041065,20260626153123,20260626,PC-4-Pro_001_005,1041065_5_5_1,20260626153000,5343.6499,1,SUCCESS,
WUS SOLAR ROOFTOP,1655534,20260626153124,20260626,Meteo Station1,1655534_5_1_1,20260626153000,4936.9805,1,SUCCESS,
SRT PLANT 1 (Meter 1.1),1332689,20260626153124,20260626,Weather Station,1332689_5_84_2,20260626153000,4731.5723,1,SUCCESS,
SRT PLANT 2 (Meter 1.2),1332699,20260626153125,20260626,Meteo Station3,1332699_5_9_1,20260626153000,4965.5825,1,SUCCESS,
